"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"475" "2017-05-06" NA NA NA NA NA NA NA NA
"474" "2017-04-29" NA NA NA NA NA NA NA NA
"473" "2017-04-22" NA NA NA NA NA NA NA NA
"472" "2017-04-15" NA NA NA NA NA NA NA NA
"471" "2017-04-08" NA NA NA NA NA NA NA NA
"470" "2017-04-01" NA NA NA NA NA NA NA NA
"469" "2017-03-25" NA NA NA NA NA NA NA NA
"468" "2017-03-18" NA NA NA NA NA NA NA NA
"467" "2017-03-11" NA NA NA NA NA NA NA NA
"466" "2017-03-04" NA NA NA NA NA NA NA NA
"465" "2017-02-25" NA NA NA NA NA NA NA NA
"464" "2017-02-18" NA NA NA NA NA NA NA NA
"463" "2017-02-11" NA NA NA NA NA NA NA NA
"462" "2017-02-04" NA NA NA NA NA NA NA NA
"461" "2017-01-28" NA NA NA NA NA NA NA NA
"460" "2017-01-21" NA NA NA NA NA NA NA NA
"459" "2017-01-14" NA NA NA NA NA NA NA NA
"458" "2017-01-07" NA NA NA NA NA NA NA NA
"457" "2017-01-01" NA NA NA NA NA NA NA NA
"456" "2016-12-31" NA NA NA NA NA NA NA NA
"455" "2016-12-25" NA NA NA NA NA NA NA NA
"454" "2016-12-24" NA NA NA NA NA NA NA NA
"453" "2016-12-17" NA NA NA NA NA NA NA NA
"452" "2016-12-10" NA NA NA NA NA NA NA NA
"451" "2016-12-03" NA NA NA NA NA NA NA NA
"450" "2016-11-26" NA NA NA NA NA NA NA NA
"449" "2016-11-19" NA NA NA NA NA NA NA NA
"448" "2016-11-12" NA NA NA NA NA NA NA NA
"447" "2016-11-05" NA NA NA NA NA NA NA NA
"446" "2016-10-29" NA NA NA NA NA NA NA NA
"445" "2016-10-22" NA NA NA NA NA NA NA NA
"444" "2016-10-15" NA NA NA NA NA NA NA NA
"443" "2016-10-08" NA NA NA NA NA NA NA NA
"442" "2016-10-01" NA NA NA NA NA NA NA NA
"441" "2016-09-24" NA NA NA NA NA NA NA NA
"440" "2016-09-17" NA NA NA NA NA NA NA NA
"439" "2016-09-10" NA NA NA NA NA NA NA NA
"438" "2016-09-03" NA NA NA NA NA NA NA NA
"437" "2016-08-27" NA NA NA NA NA NA NA NA
"436" "2016-08-20" 300 160 127 3.37369244699198 0.753822482210259 2.73053002980235 0.51439680660109 NA
"435" "2016-08-13" 297 169 104 3.42040940240405 0.768432972012384 2.66685916387421 0.399308895938749 NA
"434" "2016-08-06" 223 118 92 3.401102709335 0.673349624124714 2.69690192424727 0.477296306073789 NA
"433" "2016-07-30" 326 187 122 3.41396163420498 0.646445186988331 2.81905734919993 0.495942673154291 NA
"432" "2016-07-23" 335 189 125 3.32631288773889 0.617224618856137 2.67525790883184 0.408126593870755 NA
"431" "2016-07-16" 278 144 97 3.46210165975985 0.634428909185235 2.81201442330373 0.493626238064366 NA
"430" "2016-07-09" 233 125 96 3.40735686813916 0.665494688375557 2.67895439232703 0.422520571370696 NA
"429" "2016-07-02" 289 160 117 3.44460294614682 0.661880981178651 2.73744906142823 0.423895982191306 NA
"428" "2016-06-25" 270 153 104 3.3779591802243 0.693475079992831 2.75395914371976 0.445528982215523 NA
"427" "2016-06-18" 306 171 113 3.40540011592445 0.648315506562098 2.71901089375205 0.409436190875122 NA
"426" "2016-06-11" 251 135 99 3.38584482722779 0.636321825716481 2.69157866814091 0.428263327993818 NA
"425" "2016-06-04" 258 155 93 3.32255738576147 0.621540590546859 2.77862664210898 0.430264689274503 NA
"424" "2016-05-28" 266 172 83 3.50612013380268 0.744916102048532 2.82189975872407 0.443320023486539 NA
"423" "2016-05-21" 282 164 101 3.36367375344905 0.700622246994285 2.68751702352701 0.450072264972705 NA
"422" "2016-05-14" 300 171 110 3.39797574375246 0.654193083302723 2.79345869676444 0.450218221063452 NA
"421" "2016-05-07" 267 144 109 3.31922796923192 0.679689538741817 2.75218688062576 0.40358825946109 NA
"420" "2016-04-30" 304 164 132 3.35087481322273 0.63993400999226 2.68157946724146 0.482165989350417 NA
"419" "2016-04-23" 278 155 101 3.33376657804886 0.647248677327306 2.71714349222782 0.485179940535123 NA
"418" "2016-04-16" 276 145 114 3.37770901335276 0.618391057289372 2.77435261139752 0.546585515376889 NA
"417" "2016-04-09" 263 146 109 3.48742507927278 0.683277226232991 2.7870950694728 0.470026749851027 NA
"416" "2016-04-02" 243 135 100 3.39754636050835 0.695929581766262 2.74084292773123 0.40921833462506 NA
"415" "2016-03-26" 294 168 111 3.3191407419416 0.654039509604942 2.7350895117825 0.530600347180716 NA
"414" "2016-03-19" 264 148 104 3.37011429052938 0.728592115302708 2.71468408601357 0.423259205118883 NA
"413" "2016-03-12" 283 154 115 3.38212569936746 0.719945539681978 2.78889133470016 0.485152060353317 NA
"412" "2016-03-05" 259 157 90 3.46789043633878 0.682752400978944 2.79371908505473 0.374542952821108 NA
"411" "2016-02-27" 288 167 107 3.44286479551939 0.707351691934276 2.80841206119149 0.4527430533312 NA
"410" "2016-02-20" 359 207 120 3.34031287411706 0.602329166332319 2.83742681686754 0.447953490302809 NA
"409" "2016-02-13" 254 162 84 3.33833047671582 0.688391770121827 2.88926321142884 0.494308961566873 NA
"408" "2016-02-06" 287 160 109 3.41432654241644 0.672101219077694 2.70063709177997 0.443832423533636 NA
"407" "2016-01-30" 275 156 107 3.31986869454105 0.607293404931215 2.7246639040694 0.46866786400626 NA
"406" "2016-01-23" 330 192 120 3.40455524670479 0.671943254104965 2.81386570053959 0.507203388719529 NA
"405" "2016-01-16" 307 183 115 3.24813881833346 0.629185994457524 2.61762478438631 0.474246112080988 NA
"404" "2016-01-09" 337 189 127 3.40079454960327 0.717078316290666 2.66786335065526 0.457683015279706 NA
