"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"297" "2017-03-18" NA NA NA NA NA NA NA NA
"296" "2017-03-11" NA NA NA NA NA NA NA NA
"295" "2017-03-04" NA NA NA NA NA NA NA NA
"294" "2017-02-25" NA NA NA NA NA NA NA NA
"293" "2017-02-18" NA NA NA NA NA NA NA NA
"292" "2017-02-11" NA NA NA NA NA NA NA NA
"291" "2017-02-04" NA NA NA NA NA NA NA NA
"290" "2017-01-28" NA NA NA NA NA NA NA NA
"289" "2017-01-21" NA NA NA NA NA NA NA NA
"288" "2017-01-14" NA NA NA NA NA NA NA NA
"287" "2017-01-07" NA NA NA NA NA NA NA NA
"286" "2017-01-01" NA NA NA NA NA NA NA NA
"285" "2016-12-31" NA NA NA NA NA NA NA NA
"284" "2016-12-24" NA NA NA NA NA NA NA NA
"283" "2016-12-17" NA NA NA NA NA NA NA NA
"282" "2016-12-10" NA NA NA NA NA NA NA NA
"281" "2016-12-03" NA NA NA NA NA NA NA NA
"280" "2016-11-26" NA NA NA NA NA NA NA NA
"279" "2016-11-19" NA NA NA NA NA NA NA NA
"278" "2016-11-12" NA NA NA NA NA NA NA NA
"277" "2016-11-05" NA NA NA NA NA NA NA NA
"276" "2016-10-29" NA NA NA NA NA NA NA NA
"275" "2016-10-22" NA NA NA NA NA NA NA NA
"274" "2016-10-15" NA NA NA NA NA NA NA NA
"273" "2016-10-08" NA NA NA NA NA NA NA NA
"272" "2016-10-01" NA NA NA NA NA NA NA NA
"271" "2016-09-24" NA NA NA NA NA NA NA NA
"270" "2016-09-17" NA NA NA NA NA NA NA NA
"269" "2016-09-03" NA NA NA NA NA NA NA NA
"268" "2016-08-27" NA NA NA NA NA NA NA NA
"267" "2016-08-20" NA NA NA NA NA NA NA NA
"266" "2016-08-06" NA NA NA NA NA NA NA NA
"265" "2016-07-30" NA NA NA NA NA NA NA NA
"264" "2016-07-23" NA NA NA NA NA NA NA NA
"263" "2016-07-16" NA NA NA NA NA NA NA NA
"262" "2016-07-09" NA NA NA NA NA NA NA NA
"261" "2016-07-02" NA NA NA NA NA NA NA NA
"260" "2016-06-25" NA NA NA NA NA NA NA NA
"259" "2016-06-18" NA NA NA NA NA NA NA NA
"258" "2016-06-11" NA NA NA NA NA NA NA NA
"257" "2016-05-28" NA NA NA NA NA NA NA NA
"256" "2016-05-21" NA NA NA NA NA NA NA NA
"255" "2016-05-14" NA NA NA NA NA NA NA NA
"254" "2016-05-07" NA NA NA NA NA NA NA NA
"253" "2016-04-30" NA NA NA NA NA NA NA NA
