"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" 1 272073 "16:41" 1001 "VM35-39" 79.02 "M" 1 "PB stays at 00:16:40" 59
"2" 2 299685 "17:18" 1038 "SM30-34" 74.95 "M" 2 "PB stays at 00:16:54" 126
"3" 3 1448539 "17:30" 1050 "VM45-49" 81.05 "M" 3 "PB stays at 00:17:03" 52
"4" 4 455292 "17:54" 1074 "VM45-49" 79.8 "M" 4 "PB stays at 00:17:24" 183
"5" 5 71892 "18:32" 1112 "VM40-44" 75.36 "M" 5 "PB stays at 00:16:53" 55
"6" 6 1105867 "18:38" 1118 "SM25-29" 69.32 "M" 6 "PB stays at 00:18:20" 116
"7" 7 194394 "18:43" 1123 "VM40-44" 74 "M" 7 "PB stays at 00:17:55" 193
"8" 8 40180 "18:53" 1133 "SM25-29" 68.31 "M" 8 "PB stays at 00:17:44" 39
"9" 9 1252725 "19:06" 1146 "VM35-39" 69.02 "M" 9 "New PB!" 9
"10" 10 322941 "19:33" 1173 "VM40-44" 71.44 "M" 10 "PB stays at 00:17:21" 12
"11" 11 1695409 "19:38" 1178 "VM40-44" 71.65 "M" 11 "PB stays at 00:19:00" 98
"12" 12 2281104 "19:43" 1183 "VM35-39" 68.22 "M" 12 "PB stays at 00:19:10" 23
"13" 13 1711040 "19:46" 1186 "VM45-49" 73.44 "M" 13 "PB stays at 00:19:41" 39
"14" 14 366068 "19:55" 1195 "VM35-39" 68.03 "M" 14 "PB stays at 00:18:29" 243
"15" 15 598006 "19:59" 1199 "VM55-59" 77.56 "M" 15 "PB stays at 00:18:37" 69
"16" 16 1380515 "20:01" 1201 "SM30-34" 65.53 "M" 16 "PB stays at 00:19:38" 19
"17" 17 1371330 "20:02" 1202 "VM45-49" 71.3 "M" 17 "PB stays at 00:19:18" 78
"18" 18 110191 "20:10" 1210 "VM50-54" 75.54 "M" 18 "PB stays at 00:19:18" 327
"19" 19 220264 "20:21" 1221 "VM45-49" 71.91 "M" 19 "PB stays at 00:18:41" 97
"20" 20 1042680 "20:33" 1233 "SM30-34" 63.5 "M" 20 "PB stays at 00:19:48" 166
"21" 21 2517347 "20:38" 1238 "VM60-64" 79.08 "M" 21 "PB stays at 00:19:50" 25
"22" 22 860704 "20:52" 1252 "SM30-34" 62.54 "M" 22 "First Timer!" 20
"23" 23 335368 "20:56" 1256 "VM40-44" 65.68 "M" 23 "PB stays at 00:19:52" 193
"24" 24 1405096 "20:58" 1258 "VM50-54" 71.46 "M" 24 "PB stays at 00:20:11" 162
"25" 25 3854431 "21:13" 1273 "SM18-19" 62.84 "M" 25 "New PB!" 35
