"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" 1 1808219 "16:41" 1001 "VM35-39" 80.62 "M" 1 "PB stays at 00:16:22" 70
"2" 2 54197 "16:43" 1003 "VM40-44" 81.66 "M" 2 "PB stays at 00:16:23" 133
"3" 3 146728 "16:45" 1005 "VM40-44" 81.49 "M" 3 "New PB!" 63
"4" 4 804193 "17:35" 1055 "VM40-44" 77.63 "M" 4 "New PB!" 198
"5" 5 1779487 "17:59" 1079 "VM40-44" 76.46 "M" 5 "New PB!" 62
"6" 6 64194 "18:10" 1090 "VM45-49" 80.55 "M" 6 "PB stays at 00:18:07" 62
"7" 7 1356156 "18:20" 1100 "VM40-44" 76.18 "M" 7 "PB stays at 00:17:48" 130
"8" 8 761448 "18:38" 1118 "SM30-34" 69.41 "M" 8 "PB stays at 00:17:50" 28
"9" 9 142780 "18:54" 1134 "VM45-49" 76.19 "M" 9 "PB stays at 00:18:23" 100
"10" 10 308142 "18:58" 1138 "VM40-44" 71.97 "M" 10 "PB stays at 00:17:57" 10
"11" 11 179162 "19:03" 1143 "SM25-29" 67.72 "M" 11 "New PB!" 58
"12" 12 4541577 "19:05" 1145 "SM30-34" 67.77 "M" 12 "New PB!" 7
"13" 13 395147 "19:06" 1146 "VM45-49" 75.39 "M" 13 "PB stays at 00:18:24" 84
"14" 14 480909 "19:08" 1148 "VM40-44" 71.86 "M" 14 "PB stays at 00:18:40" 176
"15" 15 427344 "19:19" 1159 "SM25-29" 66.78 "M" 15 "New PB!" 66
"16" 16 3278638 "19:21" 1161 "SM25-29" 66.67 "M" 16 "New PB!" 28
"17" 17 598006 "19:24" 1164 "VM55-59" 79.9 "M" 17 "PB stays at 00:18:37" 69
"18" 18 110998 "19:29" 1169 "VM35-39" 68.09 "M" 18 "PB stays at 00:17:25" 317
"19" 19 1954870 "19:40" 1180 "VM45-49" 73.81 "M" 19 "PB stays at 00:19:34" 103
"20" 20 1695409 "19:43" 1183 "VM40-44" 71.34 "M" 20 "PB stays at 00:19:00" 98
"21" 21 NA NA NA NA NA NA NA NA NA
"22" 22 75213 "19:49" 1189 "SM30-34" 65.85 "M" 22 "PB stays at 00:18:24" 65
"23" 23 4903473 "19:55" 1195 "SM30-34" 65.27 "M" 23 "New PB!" 9
"24" 24 962305 "19:56" 1196 "VM35-39" 67.98 "M" 24 "PB stays at 00:18:36" 29
"25" 25 1840163 "20:02" 1202 "SM25-29" 64.39 "M" 25 "PB stays at 00:19:13" 70
"26" 26 172485 "20:09" 1209 "JM11-14" 73.78 "M" 26 "New PB!" 19
"27" 27 110191 "20:09" 1209 "VM50-54" 75.6 "M" 27 "PB stays at 00:19:18" 327
"28" 28 2517347 "20:13" 1213 "VM60-64" 80.71 "M" 28 "PB stays at 00:19:50" 25
"29" 29 1339451 "20:18" 1218 "VM45-49" 72.09 "M" 29 "PB stays at 00:19:55" 13
"30" 30 4827412 "20:27" 1227 "VM35-39" 64.87 "M" 30 "First Timer!" 1
"31" 31 1336633 "20:29" 1229 "VM65-69" 81.86 "M" 31 "First Timer!" 55
"32" 32 87482 "20:33" 1233 "VM35-39" 65.94 "M" 32 "PB stays at 00:17:39" 86
"33" 33 132415 "20:34" 1234 "VM50-54" 73.5 "M" 33 "PB stays at 00:19:15" 118
"34" 34 207223 "20:37" 1237 "VM45-49" 69.85 "M" 34 "PB stays at 00:19:18" 53
"35" 35 3689357 "20:38" 1238 "JW11-14" 77.38 "F" 1 "PB stays at 00:19:44" 13
"36" 36 1543565 "20:40" 1240 "VM45-49" 68.63 "M" 35 "PB stays at 00:20:18" 158
"37" 37 791448 "20:45" 1245 "VM45-49" 68.35 "M" 36 "PB stays at 00:19:51" 113
"38" 38 384355 "20:55" 1255 "VM35-39" 63.03 "M" 37 "PB stays at 00:18:28" 102
"39" 39 410795 "20:58" 1258 "SM25-29" 61.53 "M" 38 "New PB!" 42
"40" 40 1954571 "21:11" 1271 "VM45-49" 68.53 "M" 39 "PB stays at 00:19:18" 84
"41" 41 841662 "21:11" 1271 "VM50-54" 70.73 "M" 40 "PB stays at 00:20:52" 64
"42" 42 372610 "21:15" 1275 "VM45-49" 68.31 "M" 41 "PB stays at 00:20:53" 106
"43" 43 2535413 "21:17" 1277 "VM40-44" 65.62 "M" 42 "PB stays at 00:20:39" 8
"44" 44 3530083 "21:19" 1279 "VM45-49" 66.54 "M" 43 "PB stays at 00:19:57" 32
"45" 45 3730540 "21:24" 1284 "SM25-29" 60.28 "M" 44 "New PB!" 7
"46" 46 209603 "21:26" 1286 "SW25-29" 69.05 "F" 2 "PB stays at 00:20:29" 112
"47" 47 2806408 "21:29" 1289 "SM30-34" 60.36 "M" 45 "New PB!" 39
"48" 48 687220 "21:33" 1293 "VM45-49" 65.82 "M" 46 "First Timer!" 13
"49" 49 1152441 "21:34" 1294 "SM30-34" 60.82 "M" 47 "New PB!" 21
"50" 50 25360 "21:39" 1299 "VM60-64" 76.06 "M" 48 "PB stays at 00:20:49" 187
"51" 51 4139797 "21:40" 1300 "VM35-39" 60.85 "M" 49 "PB stays at 00:20:23" 9
"52" 52 NA NA NA NA NA NA NA NA NA
"53" 53 3744151 "21:46" 1306 "SW30-34" 68.15 "F" 3 "PB stays at 00:21:23" 9
"54" 54 1766921 "21:50" 1310 "VM50-54" 68.63 "M" 51 "PB stays at 00:20:38" 51
"55" 55 404054 "21:51" 1311 "VM40-44" 63.39 "M" 52 "New PB!" 122
"56" 56 2242789 "21:56" 1316 "SM30-34" 59.5 "M" 53 "PB stays at 00:21:15" 53
"57" 57 3597830 "21:56" 1316 "JW15-17" 69.76 "F" 4 "PB stays at 00:21:43" 54
"58" 58 202581 "21:59" 1319 "VM45-49" 65.5 "M" 54 "PB stays at 00:17:13" 283
"59" 59 309969 "21:59" 1319 "VW45-49" 72.93 "F" 5 "PB stays at 00:21:36" 80
"60" 60 633070 "22:01" 1321 "VM40-44" 63.89 "M" 55 "PB stays at 00:19:45" 244
"61" 61 190139 "22:03" 1323 "VM50-54" 69.09 "M" 56 "PB stays at 00:21:17" 126
"62" 62 2229604 "22:03" 1323 "SW30-34" 67.42 "F" 6 "PB stays at 00:21:07" 14
"63" 63 463600 "22:06" 1326 "VM50-54" 67.8 "M" 57 "PB stays at 00:21:59" 229
"64" 64 1290408 "22:07" 1327 "VM50-54" 66.69 "M" 58 "PB stays at 00:21:19" 153
"65" 65 1550054 "22:11" 1331 "SM30-34" 58.6 "M" 59 "PB stays at 00:21:50" 81
"66" 66 1921567 "22:17" 1337 "JM15-17" 61.48 "M" 60 "PB stays at 00:21:36" 40
"67" 67 1547842 "22:19" 1339 "VM40-44" 63.03 "M" 61 "PB stays at 00:21:03" 98
"68" 68 1728567 "22:23" 1343 "VM60-64" 74.24 "M" 62 "PB stays at 00:21:40" 91
"69" 69 44825 "22:24" 1344 "VM70-74" 78.72 "M" 63 "PB stays at 00:20:09" 228
"70" 70 922150 "22:26" 1346 "VM40-44" 62.26 "M" 64 "PB stays at 00:20:34" 80
"71" 71 4972223 "22:28" 1348 "SM25-29" 57.42 "M" 65 "New PB!" 11
"72" 72 359961 "22:33" 1353 "VM35-39" 58.46 "M" 66 "PB stays at 00:21:09" 61
"73" 73 NA NA NA NA NA NA NA NA NA
"74" 74 2854352 "22:34" 1354 "VM50-54" 66.4 "M" 68 "New PB!" 88
"75" 75 1906744 "22:38" 1358 "JM11-14" 67.6 "M" 69 "New PB!" 120
"76" 76 69092 "22:38" 1358 "VM45-49" 63.11 "M" 70 "PB stays at 00:20:48" 279
"77" 77 1215047 "22:39" 1359 "VM50-54" 66.15 "M" 71 "PB stays at 00:21:00" 55
"78" 78 2787859 "22:41" 1361 "VM35-39" 58.12 "M" 72 "PB stays at 00:21:27" 31
"79" 79 1268861 "22:42" 1362 "SM25-29" 56.83 "M" 73 "PB stays at 00:21:30" 46
"80" 80 166157 "22:43" 1363 "VM50-54" 65.96 "M" 74 "PB stays at 00:21:50" 235
"81" 81 3290312 "22:45" 1365 "VM60-64" 71.72 "M" 75 "PB stays at 00:21:36" 64
"82" 82 335368 "22:47" 1367 "VM40-44" 60.35 "M" 76 "PB stays at 00:19:52" 193
"83" 83 1698499 "22:48" 1368 "VM40-44" 60.75 "M" 77 "New PB!" 19
"84" 84 636462 "22:50" 1370 "VM55-59" 69.64 "M" 78 "PB stays at 00:20:37" 92
"85" 85 3178439 "22:52" 1372 "SM30-34" 56.85 "M" 79 "New PB!" 35
"86" 86 2871951 "22:55" 1375 "VM45-49" 63.85 "M" 80 "PB stays at 00:20:36" 92
"87" 87 4151411 "23:05" 1385 "SM30-34" 56.03 "M" 81 "PB stays at 00:19:31" 7
"88" 88 1534295 "23:12" 1392 "JW11-14" 71.7 "F" 7 "PB stays at 00:20:42" 88
"89" 89 525553 "23:15" 1395 "VM45-49" 61.43 "M" 82 "PB stays at 00:21:09" 21
"90" 90 197392 "23:17" 1397 "VM45-49" 62.35 "M" 83 "PB stays at 00:21:38" 21
"91" 91 4969868 "23:17" 1397 "VM40-44" 59.48 "M" 84 "New PB!" 12
"92" 92 3598083 "23:18" 1398 "VM40-44" 59.94 "M" 85 "New PB!" 30
"93" 93 1139090 "23:20" 1400 "VW40-44" 66.43 "F" 8 "PB stays at 00:22:47" 190
"94" 94 205155 "23:25" 1405 "VM35-39" 57.44 "M" 86 "PB stays at 00:22:44" 180
"95" 95 4918059 "23:29" 1409 "SM20-24" 54.93 "M" 87 "New PB!" 11
"96" 96 2730807 "23:30" 1410 "SM25-29" 54.89 "M" 88 "PB stays at 00:22:52" 77
"97" 97 4884292 "23:37" 1417 "VM55-59" 65.63 "M" 89 "PB stays at 00:23:16" 20
"98" 98 1119994 "23:38" 1418 "VM50-54" 62.91 "M" 90 "PB stays at 00:23:33" 143
