"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" 1 364318 "16:39" 999 "VM35-39" 79.18 "M" 1 "PB stays at 00:16:13" 141
"2" 2 272073 "16:48" 1008 "VM35-39" 78.47 "M" 2 "PB stays at 00:16:40" 59
"3" 3 299685 "17:02" 1022 "SM30-34" 76.13 "M" 3 "PB stays at 00:16:54" 126
"4" 4 1448539 "17:03" 1023 "VM45-49" 83.19 "M" 4 "New PB!" 52
"5" 5 54197 "17:05" 1025 "VM40-44" 79.9 "M" 5 "PB stays at 00:16:23" 133
"6" 6 3901596 "17:38" 1058 "SM25-29" 73.16 "M" 6 "PB stays at 00:17:27" 45
"7" 7 350319 "18:15" 1095 "VM35-39" 73.15 "M" 7 "PB stays at 00:17:14" 251
"8" 8 245347 "18:16" 1096 "VM50-54" 80.75 "M" 8 "PB stays at 00:18:03" 82
"9" 9 205550 "18:23" 1103 "VM40-44" 75.34 "M" 9 "New PB!" 39
"10" 10 178237 "18:29" 1109 "SM25-29" 69.79 "M" 10 "New PB!" 20
"11" 11 64194 "18:40" 1120 "VM45-49" 78.39 "M" 11 "PB stays at 00:18:07" 62
"12" 12 990386 "18:41" 1121 "VM35-39" 71.45 "M" 12 "PB stays at 00:17:54" 5
"13" 13 1906505 "18:50" 1130 "VM45-49" 77.08 "M" 13 "First Timer!" 34
"14" 14 1389970 "18:51" 1131 "SM25-29" 68.44 "M" 14 "PB stays at 00:18:23" 23
"15" 15 202581 "18:55" 1135 "VM45-49" 76.12 "M" 15 "PB stays at 00:17:13" 283
"16" 16 359231 "19:01" 1141 "SM30-34" 68.97 "M" 16 "PB stays at 00:17:49" 33
"17" 17 814834 "19:14" 1154 "VM50-54" 78.6 "M" 17 "PB stays at 00:17:42" 181
"18" 18 527805 "19:22" 1162 "VM35-39" 68.07 "M" 18 "PB stays at 00:18:42" 123
"19" 19 366068 "19:28" 1168 "VM35-39" 69.61 "M" 19 "PB stays at 00:18:29" 243
"20" 20 87482 "19:30" 1170 "VM35-39" 69.49 "M" 20 "PB stays at 00:17:39" 86
"21" 21 1711040 "19:41" 1181 "VM45-49" 73.75 "M" 21 "New PB!" 39
"22" 22 NA NA NA NA NA NA NA NA NA
"23" 23 658808 "19:50" 1190 "VM45-49" 72.61 "M" 23 "PB stays at 00:18:22" 50
"24" 24 173509 "19:51" 1191 "VM45-49" 73.13 "M" 24 "PB stays at 00:17:36" 328
"25" 25 805256 "20:01" 1201 "SM30-34" 64.95 "M" 25 "PB stays at 00:19:35" 83
"26" 26 1041372 "20:03" 1203 "VM35-39" 65.75 "M" 26 "New PB!" 136
"27" 27 1954870 "20:04" 1204 "VM45-49" 72.34 "M" 27 "PB stays at 00:19:34" 103
"28" 28 1921757 "20:05" 1205 "VM55-59" 79.17 "M" 28 "PB stays at 00:19:43" 68
"29" 29 110191 "20:10" 1210 "VM50-54" 75.54 "M" 29 "PB stays at 00:19:18" 327
"30" 30 110998 "20:18" 1218 "VM35-39" 65.35 "M" 30 "PB stays at 00:17:25" 317
"31" 31 715387 "20:28" 1228 "VM40-44" 67.18 "M" 31 "New PB!" 37
"32" 32 2615516 "20:33" 1233 "SM25-29" 62.77 "M" 32 "PB stays at 00:19:40" 10
"33" 33 2517347 "20:34" 1234 "VM60-64" 79.34 "M" 33 "PB stays at 00:19:50" 25
"34" 34 1405096 "20:46" 1246 "VM50-54" 72.15 "M" 34 "PB stays at 00:20:11" 162
"35" 35 2575804 "20:48" 1248 "SM30-34" 62.18 "M" 35 "PB stays at 00:19:42" 17
"36" 36 NA NA NA NA NA NA NA NA NA
"37" 37 312469 "20:52" 1252 "VW40-44" 74.84 "F" 1 "PB stays at 00:19:34" 194
"38" 38 4134107 "20:53" 1253 "VM40-44" 67.36 "M" 37 "First Timer!" 16
"39" 39 1695409 "20:58" 1258 "VM40-44" 67.09 "M" 38 "PB stays at 00:19:00" 98
"40" 40 97216 "20:58" 1258 "VM40-44" 67.09 "M" 39 "New PB!" 151
"41" 41 326506 "21:01" 1261 "VM55-59" 73.75 "M" 40 "PB stays at 00:19:38" 75
"42" 42 2897877 "21:03" 1263 "VM35-39" 63.02 "M" 41 "New PB!" 5
"43" 43 3981620 "21:05" 1265 "VM35-39" 64.27 "M" 42 "PB stays at 00:20:54" 22
"44" 44 372610 "21:07" 1267 "VM45-49" 68.75 "M" 43 "PB stays at 00:20:53" 106
"45" 45 1853186 "21:08" 1268 "JM15-17" 64.83 "M" 44 "PB stays at 00:17:32" 78
