"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" 1 260688 "17:11" 1031 "SM30-34" 75.95 "M" 1 "PB stays at 00:17:07" 71
"2" 2 299685 "17:17" 1037 "SM30-34" 75.02 "M" 2 "PB stays at 00:16:54" 126
"3" 3 47393 "17:24" 1044 "VM35-39" 76.25 "M" 3 "PB stays at 00:16:33" 84
"4" 4 1054331 "17:38" 1058 "SM30-34" 73.53 "M" 4 "First Timer!" 8
"5" 5 4174945 "17:52" 1072 "SM30-34" 73.04 "M" 5 "First Timer!" 44
"6" 6 1356156 "17:59" 1079 "VM40-44" 77.66 "M" 6 "PB stays at 00:17:48" 130
"7" 7 455292 "18:03" 1083 "VM45-49" 79.13 "M" 7 "PB stays at 00:17:24" 183
"8" 8 92911 "18:11" 1091 "VM45-49" 79.19 "M" 8 "New PB!" 188
"9" 9 194394 "18:21" 1101 "VM40-44" 76.11 "M" 9 "PB stays at 00:17:55" 193
"10" 10 64194 "18:34" 1114 "VM45-49" 78.82 "M" 10 "PB stays at 00:18:07" 62
"11" 11 123169 "18:36" 1116 "VM35-39" 72.31 "M" 11 "PB stays at 00:18:32" 77
"12" 12 783267 "18:38" 1118 "VM35-39" 71.65 "M" 12 "New PB!" 39
"13" 13 NA NA NA NA NA NA NA NA NA
"14" 14 3683527 "18:45" 1125 "SM25-29" 68.89 "M" 14 "PB stays at 00:18:38" 10
"15" 15 4964979 "18:47" 1127 "SM30-34" 68.86 "M" 15 "PB stays at 00:18:39" 11
"16" 16 2417800 "18:55" 1135 "VM40-44" 74.36 "M" 16 "PB stays at 00:18:32" 34
"17" 17 480909 "18:58" 1138 "VM40-44" 72.5 "M" 17 "PB stays at 00:18:40" 176
"18" 18 1942006 "19:00" 1140 "VM35-39" 69.82 "M" 18 "PB stays at 00:18:50" 6
"19" 19 202581 "19:10" 1150 "VM45-49" 75.13 "M" 19 "PB stays at 00:17:13" 283
"20" 20 366068 "19:17" 1157 "VM35-39" 70.27 "M" 20 "PB stays at 00:18:29" 243
"21" 21 4681679 "19:18" 1158 "VM50-54" 76.42 "M" 21 "New PB!" 23
"22" 22 NA NA NA NA NA NA NA NA NA
"23" 23 4030389 "19:33" 1173 "SM30-34" 66.16 "M" 23 "PB stays at 00:19:08" 20
"24" 24 3931405 "19:36" 1176 "VM35-39" 68.11 "M" 24 "PB stays at 00:19:15" 24
"25" 25 534005 "19:37" 1177 "VM35-39" 68.56 "M" 25 "PB stays at 00:19:34" 175
"26" 26 1111699 "19:40" 1180 "VM35-39" 68.9 "M" 26 "PB stays at 00:19:23" 81
