"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" 1 299685 "17:39" 1059 "SM30-34" 73.47 "M" 1 "PB stays at 00:16:54" 126
"2" 2 350319 "18:11" 1091 "VM35-39" 73.97 "M" 2 "PB stays at 00:17:14" 251
"3" 3 3595363 "18:26" 1106 "SM20-24" 69.98 "M" 3 "PB stays at 00:17:45" 32
"4" 4 NA NA NA NA NA NA NA NA NA
"5" 5 85347 "18:43" 1123 "VM45-49" 77.56 "M" 5 "PB stays at 00:17:28" 58
"6" 6 4964979 "18:52" 1132 "SM30-34" 68.55 "M" 6 "PB stays at 00:18:39" 11
"7" 7 1356156 "18:55" 1135 "VM40-44" 73.83 "M" 7 "PB stays at 00:17:48" 130
"8" 8 395147 "19:31" 1171 "VM45-49" 73.78 "M" 8 "PB stays at 00:18:24" 84
"9" 9 4030389 "19:51" 1191 "SM30-34" 65.16 "M" 9 "PB stays at 00:19:08" 20
"10" 10 3901596 "19:54" 1194 "SM25-29" 64.82 "M" 10 "PB stays at 00:17:27" 45
"11" 11 355779 "20:07" 1207 "VM35-39" 66.86 "M" 11 "PB stays at 00:17:09" 131
"12" 12 3276192 "20:12" 1212 "SM25-29" 63.86 "M" 12 "New PB!" 21
"13" 13 814834 "20:19" 1219 "VM50-54" 74.41 "M" 13 "PB stays at 00:17:42" 181
"14" 14 NA NA NA NA NA NA NA NA NA
"15" 15 202581 "20:25" 1225 "VM45-49" 70.53 "M" 15 "PB stays at 00:17:13" 283
"16" 16 110998 "20:25" 1225 "VM35-39" 64.98 "M" 16 "PB stays at 00:17:25" 317
"17" 17 173012 "20:35" 1235 "VM55-59" 74.66 "M" 17 "PB stays at 00:19:04" 365
"18" 18 58553 "20:37" 1237 "VW35-39" 72.51 "F" 1 "PB stays at 00:19:26" 90
"19" 19 NA NA NA NA NA NA NA NA NA
"20" 20 805256 "20:56" 1256 "SM30-34" 62.34 "M" 19 "PB stays at 00:19:35" 83
"21" 21 3114519 "21:00" 1260 "VM35-39" 63.57 "M" 20 "PB stays at 00:20:26" 7
