"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" 1 1808219 "16:22" 982 "VM35-39" 81.57 "M" 1 "New PB!" 70
"2" 2 272073 "16:40" 1000 "VM35-39" 79.1 "M" 2 "New PB!" 59
"3" 3 292922 "16:47" 1007 "SM30-34" 77.46 "M" 3 "New PB!" 164
"4" 4 1448539 "17:19" 1039 "VM45-49" 81.91 "M" 4 "PB stays at 00:17:03" 52
"5" 5 1254337 "18:11" 1091 "JM15-17" 74.24 "M" 5 "PB stays at 00:17:42" 84
"6" 6 3901596 "18:15" 1095 "SM25-29" 70.68 "M" 6 "PB stays at 00:17:27" 45
"7" 7 64194 "18:26" 1106 "VM45-49" 79.39 "M" 7 "New PB!" 62
"8" 8 83376 "18:28" 1108 "VM55-59" 83.21 "M" 8 "PB stays at 00:18:19" 33
"9" 9 94703 "18:38" 1118 "VM55-59" 83.18 "M" 9 "PB stays at 00:18:20" 82
"10" 10 40180 "18:42" 1122 "SM25-29" 68.98 "M" 10 "PB stays at 00:17:44" 39
"11" 11 527805 "18:42" 1122 "VM35-39" 70.5 "M" 11 "New PB!" 123
"12" 12 814834 "18:46" 1126 "VM50-54" 80.55 "M" 12 "PB stays at 00:17:42" 181
"13" 13 110998 "18:47" 1127 "VM35-39" 70.63 "M" 13 "PB stays at 00:17:25" 317
"14" 14 NA NA NA NA NA NA NA NA NA
"15" 15 NA NA NA NA NA NA NA NA NA
"16" 16 94620 "19:05" 1145 "VM55-59" 80.52 "M" 16 "PB stays at 00:18:37" 326
"17" 17 NA NA NA NA NA NA NA NA NA
"18" 18 194394 "19:20" 1160 "VM40-44" 71.64 "M" 18 "PB stays at 00:17:55" 193
"19" 19 331893 "19:30" 1170 "VM35-39" 68.46 "M" 19 "PB stays at 00:18:42" 32
"20" 20 1756714 "19:34" 1174 "VM35-39" 69.25 "M" 20 "PB stays at 00:18:52" 101
"21" 21 1695409 "19:38" 1178 "VM40-44" 71.65 "M" 21 "PB stays at 00:19:00" 98
"22" 22 4525114 "19:39" 1179 "SM25-29" 65.65 "M" 22 "First Timer!" 6
"23" 23 1711040 "19:43" 1183 "VM45-49" 73.63 "M" 23 "New PB!" 39
"24" 24 1430843 "19:46" 1186 "VM40-44" 69.56 "M" 24 "PB stays at 00:19:19" 171
"25" 25 4885299 "19:56" 1196 "SM30-34" 65.47 "M" 25 "New PB!" 2
"26" 26 658808 "19:57" 1197 "VM45-49" 72.18 "M" 26 "PB stays at 00:18:22" 50
"27" 27 60463 "20:07" 1207 "SM20-24" 64.13 "M" 27 "New PB!" 211
"28" 28 94538 "20:09" 1209 "VM55-59" 78.91 "M" 28 "PB stays at 00:19:37" 123
"29" 29 292122 "20:10" 1210 "SM25-29" 63.97 "M" 29 "First Timer!" 16
"30" 30 1405096 "20:11" 1211 "VM50-54" 74.24 "M" 30 "New PB!" 162
"31" 31 849998 "20:13" 1213 "SM30-34" 64.55 "M" 31 "New PB!" 115
"32" 32 3516982 "20:16" 1216 "SM25-29" 63.65 "M" 32 "PB stays at 00:19:52" 27
"33" 33 2577702 "20:21" 1221 "VM35-39" 66.58 "M" 33 "PB stays at 00:17:49" 7
"34" 34 4453389 "20:22" 1222 "VM35-39" 66.04 "M" 34 "PB stays at 00:19:52" 23
"35" 35 2027472 "20:26" 1226 "VM35-39" 65.82 "M" 35 "First Timer!" 21
"36" 36 1109855 "20:28" 1228 "SW30-34" 72.8 "F" 1 "New PB!" 94
"37" 37 791448 "20:34" 1234 "VM45-49" 68.96 "M" 36 "PB stays at 00:19:51" 113
"38" 38 172485 "20:36" 1236 "JM11-14" 72.17 "M" 37 "New PB!" 19
"39" 39 1627352 "21:03" 1263 "VM35-39" 63.9 "M" 38 "PB stays at 00:20:43" 21
