"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" 1 533507 "16:41" 1001 "SM30-34" 77.52 "M" 1 "PB stays at 00:16:37" 41
"2" 2 703488 "17:41" 1061 "SM30-34" 73.8 "M" 2 "New PB!" 121
"3" 3 1254337 "17:48" 1068 "JM15-17" 75.84 "M" 3 "PB stays at 00:17:42" 84
"4" 4 1434845 "17:51" 1071 "VM35-39" 73.86 "M" 4 "New PB!" 65
"5" 5 355779 "18:01" 1081 "VM35-39" 74.65 "M" 5 "PB stays at 00:17:09" 131
"6" 6 455292 "18:15" 1095 "VM45-49" 78.26 "M" 6 "PB stays at 00:17:24" 183
"7" 7 178237 "18:16" 1096 "SM25-29" 70.62 "M" 7 "PB stays at 00:18:13" 20
"8" 8 113414 "18:23" 1103 "SM25-29" 70.26 "M" 8 "New PB!" 10
"9" 9 334172 "18:31" 1111 "VM40-44" 75.43 "M" 9 "PB stays at 00:18:12" 106
"10" 10 4964979 "18:39" 1119 "SM30-34" 69.35 "M" 10 "New PB!" 11
"11" 11 85347 "18:45" 1125 "VM45-49" 77.42 "M" 11 "PB stays at 00:17:28" 58
"12" 12 1389970 "18:49" 1129 "SM25-29" 68.56 "M" 12 "PB stays at 00:18:23" 23
"13" 13 4903473 "18:53" 1133 "SM30-34" 68.84 "M" 13 "New PB!" 9
"14" 14 196192 "18:59" 1139 "VM35-39" 70.32 "M" 14 "PB stays at 00:18:11" 294
"15" 15 1600545 "19:01" 1141 "VM40-44" 73.97 "M" 15 "PB stays at 00:18:42" 101
"16" 16 110998 "19:02" 1142 "VM35-39" 69.7 "M" 16 "PB stays at 00:17:25" 317
"17" 17 NA NA NA NA NA NA NA NA NA
"18" 18 202581 "19:03" 1143 "VM45-49" 75.59 "M" 18 "PB stays at 00:17:13" 283
"19" 19 1954571 "19:20" 1160 "VM45-49" 75.09 "M" 19 "PB stays at 00:19:18" 84
"20" 20 366068 "19:21" 1161 "VM35-39" 70.03 "M" 20 "PB stays at 00:18:29" 243
"21" 21 4030389 "19:39" 1179 "SM30-34" 65.82 "M" 21 "PB stays at 00:19:08" 20
"22" 22 587681 "19:42" 1182 "VM35-39" 66.92 "M" 22 "PB stays at 00:18:43" 72
"23" 23 350319 "19:58" 1198 "VM35-39" 67.36 "M" 23 "PB stays at 00:17:14" 251
"24" 24 814834 "20:01" 1201 "VM50-54" 75.52 "M" 24 "PB stays at 00:17:42" 181
"25" 25 951249 "20:06" 1206 "VM50-54" 75.21 "M" 25 "PB stays at 00:18:53" 62
"26" 26 1711040 "20:12" 1212 "VM45-49" 71.86 "M" 26 "PB stays at 00:19:41" 39
"27" 27 417843 "20:13" 1213 "VM35-39" 65.21 "M" 27 "First Timer!" 26
"28" 28 1695409 "20:18" 1218 "VM40-44" 69.29 "M" 28 "PB stays at 00:19:00" 98
"29" 29 1632244 "20:20" 1220 "JM11-14" 73.11 "M" 29 "New PB!" 26
"30" 30 1756714 "20:21" 1221 "VM35-39" 66.58 "M" 30 "PB stays at 00:18:52" 101
"31" 31 4451910 "20:23" 1223 "SM30-34" 64.35 "M" 31 "PB stays at 00:19:37" 21
"32" 32 1818900 "20:26" 1226 "SM30-34" 64.19 "M" 32 "PB stays at 00:19:13" 86
"33" 33 3276192 "20:31" 1231 "SM25-29" 62.88 "M" 33 "New PB!" 21
"34" 34 1111699 "20:39" 1239 "VM35-39" 65.62 "M" 34 "PB stays at 00:19:23" 81
"35" 35 111432 "20:44" 1244 "VM45-49" 70.02 "M" 35 "PB stays at 00:18:20" 80
