"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD"
"30" "2013-02-09" 92 50 41 3.50954282884762 0.418915453204529 2.87328727310929 0.517564553321319
"29" "2013-02-02" 112 70 38 3.52984495815279 0.499390544980231 2.79294477926599 0.605827108798616
"28" "2013-01-26" 33 26 7 3.20767456871524 0.463529522469616 2.82818217244829 0.402825661115095
"27" "2013-01-19" 34 25 7 3.21802553038075 0.529883256887258 2.94748467460608 0.435422539697407
"26" "2013-01-12" 85 48 36 3.36302733574952 0.431414197026061 2.66297086908684 0.450062729674859
"25" "2013-01-05" 86 46 40 3.4486957232659 0.447517419290807 2.72254557142771 0.56738316258615
"24" "2012-12-29" 69 38 25 3.12711566860317 0.618673094988517 2.74906160776025 0.4587220032555
"23" "2012-12-22" 27 20 5 3.28183382452223 0.454664852261087 2.85251720923854 0.488857224578306
"22" "2012-12-15" 41 31 9 3.46180885987244 0.482420326729508 2.90599114741936 0.569030663573527
"21" "2012-12-08" 34 25 8 3.24820384051295 0.376113110552454 3.04317043837916 0.358560137883279
"20" "2012-11-24" 67 40 22 3.63994077415738 0.551910996805063 3.08640222293816 0.386471724509724
"19" "2012-11-17" 73 45 27 3.48586522524963 0.437997477389163 2.80014983208386 0.399362509401311
"18" "2012-11-10" 86 50 34 3.54496927673473 0.559754571712743 2.92793214363065 0.445857531608712
"17" "2012-11-03" 87 55 32 3.56569530083119 0.6253981866682 3.00767240080086 0.443718649323565
"16" "2012-10-27" 66 34 30 3.51516896458729 0.656478864785127 2.77728691352774 0.511074164811226
"15" "2012-10-20" 116 68 41 3.57218622297097 0.590282371345195 2.81748220486285 0.483856174399984
"14" "2012-10-13" 87 48 35 3.65539234679946 0.693973923940499 3.02850570785029 0.565768449787891
"13" "2012-10-06" 64 42 20 3.55552574552852 0.570041777517196 2.91843396150873 0.496662942520321
"12" "2012-09-29" 50 27 23 3.25573714452973 0.483352626098348 2.94460237610343 0.558228861516196
"11" "2012-09-22" 86 53 30 3.5326032598671 0.618099260448079 3.07286686123646 0.487668268720116
"10" "2012-09-15" 47 28 16 3.70162905135248 0.453781341523238 3.16298725121438 0.592373495020062
"9" "2012-09-08" 69 42 25 3.54158837633683 0.583784634938244 3.09504902697136 0.71002098900894
"8" "2012-09-01" 63 40 20 3.70907866495141 0.54585051313631 3.33325447887045 0.513055767546338
"7" "2012-08-25" 53 42 9 3.63733855622585 0.552550209906234 3.25672046893489 0.538435335193879
"6" "2012-08-18" 71 45 23 3.51636358342815 0.593288726430745 3.22449548415598 0.617540312251584
"5" "2012-08-11" 63 38 23 3.7616595133262 0.637848143706916 3.22241159930032 0.622869074040762
"4" "2012-08-04" 80 53 26 3.59953590820585 0.675559150751226 2.92505570595674 0.367886729237813
"3" "2012-07-28" 75 41 34 3.86063389577327 0.691706497073557 3.21427772449051 0.592730779477276
"2" "2012-07-21" 55 32 23 3.58710434091797 0.723938327369796 2.90928180773473 0.551802780324359
"1" "2012-07-14" 184 122 59 3.60193675817782 0.687001283898587 3.1064090872889 0.470827195927875
"338" "2019-02-23" 522 256 244 3.33973950844797 0.604164756623674 2.64536588270018 0.509889024778326
"339" "2019-03-02" 514 251 244 3.23267155037609 0.572558719714415 2.6112194682958 0.492528465682792
"340" "2019-03-09" 436 248 171 3.32442532074881 0.647082084511198 2.78999878841358 0.476437392777806
