"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD"
"242" "2017-03-11" 299 150 133 3.37436020188662 0.572111445210413 2.87691586562596 0.449520109091721
"241" "2017-03-04" 290 163 122 3.31145707211923 0.567102319138535 2.71221041906631 0.435290193592615
"240" "2017-02-25" 262 138 116 3.34969524262428 0.487484972135923 2.77405333484995 0.464178936450182
"239" "2017-02-18" 322 168 140 3.27289182204874 0.546082510557481 2.80485655181018 0.433419701566537
"238" "2017-02-11" 178 101 66 3.38480634918775 0.546904676184925 2.8152530806497 0.333664580898791
"237" "2017-02-04" 261 146 98 3.2192805931821 0.575621205788548 2.70841793161582 0.459703387898322
"236" "2017-01-28" 244 135 101 3.2340482197348 0.581077867785375 2.77456015407363 0.422643666506701
"235" "2017-01-21" 296 179 106 3.31406307118194 0.620873681892843 2.94244812758711 0.472993027716766
"234" "2017-01-14" 220 133 81 3.27870678702255 0.517192698854563 2.8330969251637 0.453076509256462
"233" "2017-01-07" 262 131 117 3.17036890319182 0.560964095755732 2.69591771599648 0.39291713974829
"232" "2017-01-01" 215 130 79 3.35913087191222 0.615630905152888 2.82268878416778 0.520980468762064
"231" "2016-12-31" 317 169 135 3.26995823698339 0.615175838419623 2.87237899559004 0.431955650075364
"230" "2016-12-24" 364 195 153 3.30275506876314 0.574977471641602 2.88042910172333 0.496889495948683
"229" "2016-12-17" 160 94 60 3.47506603017008 0.54541789590585 3.01622475096773 0.420479054857607
"228" "2016-12-10" 176 97 71 3.28146051304023 0.58097060977864 2.92848321676709 0.507441689988
"227" "2016-12-03" 221 124 91 3.45235493038454 0.593524891480334 2.9137420156773 0.483355832644498
"226" "2016-11-26" 136 90 43 3.34161635993483 0.53890294505343 2.87722448487434 0.380017659756111
"225" "2016-11-19" 219 112 93 3.20713476054264 0.636369055657876 2.62345327496242 0.476584732591784
"224" "2016-11-12" 274 146 118 3.23020156574838 0.567401406489133 2.69680450173164 0.468302682317621
"223" "2016-11-05" 237 131 95 3.33602233979542 0.49875102371895 2.86722754366248 0.472594003928856
"222" "2016-10-29" 318 167 136 3.35641667106597 0.612119413659843 2.82054838595857 0.520727795424088
"221" "2016-10-22" 250 156 90 3.40552450599569 0.616885163787145 2.92127640215452 0.531723257581258
"220" "2016-10-15" 208 110 83 3.4346823069798 0.503185444909725 3.01921721632262 0.497609960060307
"219" "2016-10-08" 256 139 106 3.39652120528395 0.599993977734977 2.9206985847805 0.435127455147224
