"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" 1 71892 "17:17" 1037 "VM40-44" 80.81 "M" 1 "PB stays at 00:16:53" 55
"2" 2 87482 "17:44" 1064 "VM35-39" 76.41 "M" 2 "New PB!" 86
"3" 3 455292 "17:46" 1066 "VM45-49" 80.39 "M" 3 "PB stays at 00:17:24" 183
"4" 4 559089 "18:09" 1089 "VM45-49" 79.34 "M" 4 "New PB!" 28
"5" 5 110181 "18:14" 1094 "VM40-44" 77.15 "M" 5 "PB stays at 00:17:49" 125
"6" 6 1413206 "18:29" 1109 "SM30-34" 70.15 "M" 6 "PB stays at 00:17:38" 20
"7" 7 94703 "18:30" 1110 "VM55-59" 83.78 "M" 7 "PB stays at 00:18:20" 82
"8" 8 1853186 "18:39" 1119 "JM15-17" 73.46 "M" 8 "PB stays at 00:17:32" 78
"9" 9 196192 "18:40" 1120 "VM35-39" 71.52 "M" 9 "PB stays at 00:18:11" 294
"10" 10 1105867 "18:48" 1128 "SM25-29" 68.62 "M" 10 "PB stays at 00:18:20" 116
"11" 11 366068 "18:52" 1132 "VM35-39" 71.82 "M" 11 "PB stays at 00:18:29" 243
"12" 12 64194 "19:00" 1140 "VM45-49" 76.4 "M" 12 "PB stays at 00:18:07" 62
"13" 13 1954860 "19:04" 1144 "JW11-14" 83.74 "F" 1 "New PB!" 75
"14" 14 379923 "19:05" 1145 "JM15-17" 70.74 "M" 13 "PB stays at 00:18:14" 83
"15" 15 359231 "19:06" 1146 "SM30-34" 68.67 "M" 14 "PB stays at 00:17:49" 33
"16" 16 4326336 "19:11" 1151 "VM50-54" 77.5 "M" 15 "New PB!" 13
"17" 17 310300 "19:13" 1153 "VM50-54" 76.76 "M" 16 "New PB!" 293
"18" 18 355779 "19:16" 1156 "VM35-39" 69.29 "M" 17 "PB stays at 00:17:09" 131
"19" 19 63117 "19:17" 1157 "JM15-17" 72.17 "M" 18 "New PB!" 40
"20" 20 658808 "19:18" 1158 "VM45-49" 74.61 "M" 19 "PB stays at 00:18:22" 50
"21" 21 2831880 "19:22" 1162 "VM35-39" 69.97 "M" 20 "PB stays at 00:19:16" 49
"22" 22 3286575 "19:25" 1165 "VM35-39" 69.79 "M" 21 "First Timer!" 34
"23" 23 2722736 "19:38" 1178 "VM35-39" 68.51 "M" 22 "First Timer!" 52
"24" 24 805256 "19:39" 1179 "SM30-34" 66.16 "M" 23 "PB stays at 00:19:35" 83
"25" 25 734233 "19:41" 1181 "VW40-44" 78.75 "F" 2 "First Timer!" 40
"26" 26 598006 "19:43" 1183 "VM55-59" 78.61 "M" 24 "PB stays at 00:18:37" 69
"27" 27 4569773 "19:47" 1187 "SM25-29" 65.21 "M" 25 "New PB!" 3
"28" 28 480912 "19:53" 1193 "SM20-24" 65.55 "M" 26 "First Timer!" 82
"29" 29 3516982 "19:58" 1198 "SM25-29" 64.61 "M" 27 "PB stays at 00:19:52" 27
"30" 30 293823 "20:07" 1207 "VM35-39" 65.95 "M" 28 "PB stays at 00:17:56" 179
"31" 31 1954870 "20:12" 1212 "VM45-49" 71.86 "M" 29 "PB stays at 00:19:34" 103
"32" 32 2390219 "20:16" 1216 "SM25-29" 63.65 "M" 30 "New PB!" 7
"33" 33 110191 "20:23" 1223 "VM50-54" 74.73 "M" 31 "PB stays at 00:19:18" 327
"34" 34 901533 "20:24" 1224 "SM25-29" 63.32 "M" 32 "New PB!" 43
"35" 35 2351473 "20:32" 1232 "JM15-17" 66.72 "M" 33 "New PB!" 10
"36" 36 791448 "20:41" 1241 "VM45-49" 68.57 "M" 34 "PB stays at 00:19:51" 113
"37" 37 587681 "20:42" 1242 "SM30-34" 63.37 "M" 35 "PB stays at 00:18:43" 72
"38" 38 922150 "20:47" 1247 "VM40-44" 66.64 "M" 36 "PB stays at 00:20:34" 80
"39" 39 326506 "20:50" 1250 "VM55-59" 73.76 "M" 37 "PB stays at 00:19:38" 75
"40" 40 1513666 "20:52" 1252 "SM30-34" 62.54 "M" 38 "New PB!" 128
"41" 41 256759 "20:58" 1258 "SM30-34" 62.56 "M" 39 "First Timer!" 19
"42" 42 109491 "21:00" 1260 "VW45-49" 78.89 "F" 3 "PB stays at 00:20:20" 272
