"gibside" "riverside" "windynook" "durham" "sedgefield" "hartlepool" "southshields" "sunderland" "lincoln"
"gibside" NA 0.229981167587161 -0.0521729138612159 0.145511719197734 0.125719562812527 0.287085093527433 0.217874261954163 0.260951125266546 0.0250051977125771
"riverside" -0.229981167587161 NA -0.287165263042443 -0.0790115588618742 -0.109596990414114 0.0644159312934466 0.00880317889856241 -0.0084542448621218 0.0961645553177134
"windynook" 0.0521729138612159 0.287165263042443 NA 0.241903414683544 0.220384451115345 0.410846278332265 0.25023112957348 0.0917971501639245 -3.89178508719016
"durham" -0.145511719197734 0.0790115588618742 -0.241903414683544 NA -0.0171908505821962 0.135437920639897 0.131274511708841 0.0327929430399892 1.20144707442468
"sedgefield" -0.125719562812527 0.109596990414114 -0.220384451115345 0.0171908505821962 NA 0.147917572015262 0.15524896400503 -0.0170534363238147 0.503727318887061
"hartlepool" -0.287085093527433 -0.0644159312934466 -0.410846278332265 -0.135437920639897 -0.147917572015262 NA -0.0253441183126177 -0.0155739424250488 0.493104790592374
"southshields" -0.217874261954163 -0.00880317889856241 -0.25023112957348 -0.131274511708841 -0.15524896400503 0.0253441183126177 NA -0.129320704537706 0.440038018496163
"sunderland" -0.260951125266546 0.0084542448621218 -0.0917971501639245 -0.0327929430399892 0.0170534363238147 0.0155739424250488 0.129320704537706 NA -24.1349017583583
"lincoln" -0.0250051977125771 -0.0961645553177134 3.89178508719016 -1.20144707442468 -0.503727318887061 -0.493104790592374 -0.440038018496163 24.1349017583583 NA
