"gibside" "riverside" "windynook" "durham" "sedgefield" "hartlepool" "southshields" "sunderland" "lincoln"
"gibside" NA 0.00744784060701069 0.016604652477786 0.0114978520082641 0.0115924888966354 0.0272417608363385 0.0215533945320079 0.0921712829836374 0.3405928387447
"riverside" 0.00744784060701069 NA 0.012182048576619 0.00478732922355736 0.00707236963045927 0.0159197406798816 0.0116871011559558 0.0232489137288948 0.196560978619651
"windynook" 0.016604652477786 0.012182048576619 NA 0.022123562031409 0.0239038420179669 0.0797150980095656 0.0884720468796247 0.284094582585091 NA
"durham" 0.0114978520082641 0.00478732922355736 0.022123562031409 NA 0.00499059905981733 0.0139851276943156 0.0190821817332988 0.0166532436078863 2.82865403784928
"sedgefield" 0.0115924888966354 0.00707236963045927 0.0239038420179669 0.00499059905981733 NA 0.00849612719838637 0.0235943778033333 0.0344273921475997 0.319647006720529
"hartlepool" 0.0272417608363385 0.0159197406798816 0.0797150980095656 0.0139851276943156 0.00849612719838637 NA 0.0340098743880227 0.178666203287138 NA
"southshields" 0.0215533945320079 0.0116871011559558 0.0884720468796247 0.0190821817332988 0.0235943778033333 0.0340098743880227 NA 0.0620612002209434 0.000650498515322818
"sunderland" 0.0921712829836374 0.0232489137288948 0.284094582585091 0.0166532436078863 0.0344273921475997 0.178666203287138 0.0620612002209434 NA 31.2031704877284
"lincoln" 0.3405928387447 0.196560978619651 NA 2.82865403784928 0.319647006720529 NA 0.000650498515322818 31.2031704877284 NA
