"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"201" "2017-03-04" NA NA NA NA NA NA NA NA
"200" "2017-02-25" NA NA NA NA NA NA NA NA
"199" "2017-02-18" NA NA NA NA NA NA NA NA
"198" "2017-02-11" NA NA NA NA NA NA NA NA
"197" "2017-02-04" NA NA NA NA NA NA NA NA
"196" "2017-01-28" NA NA NA NA NA NA NA NA
"195" "2017-01-21" NA NA NA NA NA NA NA NA
"194" "2017-01-14" NA NA NA NA NA NA NA NA
"193" "2017-01-07" NA NA NA NA NA NA NA NA
"192" "2016-12-31" NA NA NA NA NA NA NA NA
"191" "2016-12-24" NA NA NA NA NA NA NA NA
"190" "2016-12-17" NA NA NA NA NA NA NA NA
"189" "2016-12-10" NA NA NA NA NA NA NA NA
"188" "2016-12-03" NA NA NA NA NA NA NA NA
"187" "2016-11-26" NA NA NA NA NA NA NA NA
"186" "2016-11-19" NA NA NA NA NA NA NA NA
"185" "2016-11-12" NA NA NA NA NA NA NA NA
"184" "2016-11-05" NA NA NA NA NA NA NA NA
"183" "2016-10-29" NA NA NA NA NA NA NA NA
"182" "2016-10-22" NA NA NA NA NA NA NA NA
"181" "2016-10-15" NA NA NA NA NA NA NA NA
"180" "2016-10-08" NA NA NA NA NA NA NA NA
"179" "2016-10-01" NA NA NA NA NA NA NA NA
"178" "2016-09-24" NA NA NA NA NA NA NA NA
"177" "2016-09-17" NA NA NA NA NA NA NA NA
"176" "2016-09-03" NA NA NA NA NA NA NA NA
"175" "2016-08-27" NA NA NA NA NA NA NA NA
"174" "2016-08-20" NA NA NA NA NA NA NA NA
"173" "2016-08-13" NA NA NA NA NA NA NA NA
"172" "2016-08-06" NA NA NA NA NA NA NA NA
"171" "2016-07-30" NA NA NA NA NA NA NA NA
"170" "2016-07-23" NA NA NA NA NA NA NA NA
"169" "2016-07-16" NA NA NA NA NA NA NA NA
"168" "2016-07-09" NA NA NA NA NA NA NA NA
"167" "2016-07-02" NA NA NA NA NA NA NA NA
"166" "2016-06-25" NA NA NA NA NA NA NA NA
"165" "2016-06-18" NA NA NA NA NA NA NA NA
"164" "2016-06-11" NA NA NA NA NA NA NA NA
"163" "2016-06-04" NA NA NA NA NA NA NA NA
"162" "2016-05-28" NA NA NA NA NA NA NA NA
"161" "2016-05-21" NA NA NA NA NA NA NA NA
"160" "2016-05-14" NA NA NA NA NA NA NA NA
"159" "2016-05-07" NA NA NA NA NA NA NA NA
"158" "2016-04-30" NA NA NA NA NA NA NA NA
"157" "2016-04-23" NA NA NA NA NA NA NA NA
"156" "2016-04-16" NA NA NA NA NA NA NA NA
"155" "2016-04-09" NA NA NA NA NA NA NA NA
"154" "2016-04-02" NA NA NA NA NA NA NA NA
"153" "2016-03-26" NA NA NA NA NA NA NA NA
"152" "2016-03-19" NA NA NA NA NA NA NA NA
"151" "2016-03-12" NA NA NA NA NA NA NA NA
"150" "2016-03-05" NA NA NA NA NA NA NA NA
"149" "2016-02-27" NA NA NA NA NA NA NA NA
"148" "2016-02-20" NA NA NA NA NA NA NA NA
"147" "2016-02-13" NA NA NA NA NA NA NA NA
"146" "2016-02-06" NA NA NA NA NA NA NA NA
"145" "2016-01-30" NA NA NA NA NA NA NA NA
"144" "2016-01-23" NA NA NA NA NA NA NA NA
"143" "2016-01-16" NA NA NA NA NA NA NA NA
"142" "2016-01-09" NA NA NA NA NA NA NA NA
"141" "2016-01-02" NA NA NA NA NA NA NA NA
"140" "2015-12-26" NA NA NA NA NA NA NA NA
"139" "2015-12-19" NA NA NA NA NA NA NA NA
"138" "2015-12-12" NA NA NA NA NA NA NA NA
"137" "2015-12-05" NA NA NA NA NA NA NA NA
"136" "2015-11-28" NA NA NA NA NA NA NA NA
"135" "2015-11-21" NA NA NA NA NA NA NA NA
"134" "2015-11-14" NA NA NA NA NA NA NA NA
"133" "2015-11-07" NA NA NA NA NA NA NA NA
"132" "2015-10-31" NA NA NA NA NA NA NA NA
"131" "2015-10-24" NA NA NA NA NA NA NA NA
"130" "2015-10-17" NA NA NA NA NA NA NA NA
"129" "2015-10-10" NA NA NA NA NA NA NA NA
