"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"373" "2017-02-04" NA NA NA NA NA NA NA NA
"372" "2017-01-28" NA NA NA NA NA NA NA NA
"371" "2017-01-21" NA NA NA NA NA NA NA NA
"370" "2017-01-07" NA NA NA NA NA NA NA NA
"369" "2017-01-01" NA NA NA NA NA NA NA NA
"368" "2016-12-31" NA NA NA NA NA NA NA NA
"367" "2016-12-24" NA NA NA NA NA NA NA NA
"366" "2016-12-17" NA NA NA NA NA NA NA NA
"365" "2016-12-10" NA NA NA NA NA NA NA NA
"364" "2016-12-03" NA NA NA NA NA NA NA NA
"363" "2016-11-26" NA NA NA NA NA NA NA NA
"362" "2016-11-19" NA NA NA NA NA NA NA NA
"361" "2016-11-12" NA NA NA NA NA NA NA NA
"360" "2016-11-05" NA NA NA NA NA NA NA NA
"359" "2016-10-29" NA NA NA NA NA NA NA NA
"358" "2016-10-22" NA NA NA NA NA NA NA NA
"357" "2016-10-15" NA NA NA NA NA NA NA NA
"356" "2016-10-08" NA NA NA NA NA NA NA NA
"355" "2016-10-01" NA NA NA NA NA NA NA NA
"354" "2016-09-24" NA NA NA NA NA NA NA NA
"353" "2016-09-17" NA NA NA NA NA NA NA NA
"352" "2016-09-10" NA NA NA NA NA NA NA NA
"351" "2016-09-03" NA NA NA NA NA NA NA NA
"350" "2016-08-27" NA NA NA NA NA NA NA NA
"349" "2016-08-20" NA NA NA NA NA NA NA NA
"348" "2016-08-13" NA NA NA NA NA NA NA NA
"347" "2016-08-06" NA NA NA NA NA NA NA NA
"346" "2016-07-30" NA NA NA NA NA NA NA NA
"345" "2016-07-23" NA NA NA NA NA NA NA NA
"344" "2016-07-16" NA NA NA NA NA NA NA NA
"343" "2016-07-09" NA NA NA NA NA NA NA NA
"342" "2016-07-02" NA NA NA NA NA NA NA NA
"341" "2016-06-25" NA NA NA NA NA NA NA NA
"340" "2016-06-18" NA NA NA NA NA NA NA NA
"339" "2016-06-11" NA NA NA NA NA NA NA NA
"338" "2016-06-04" NA NA NA NA NA NA NA NA
"337" "2016-05-28" NA NA NA NA NA NA NA NA
"336" "2016-05-21" NA NA NA NA NA NA NA NA
"335" "2016-05-14" NA NA NA NA NA NA NA NA
"334" "2016-05-07" NA NA NA NA NA NA NA NA
"333" "2016-04-30" NA NA NA NA NA NA NA NA
"332" "2016-04-23" NA NA NA NA NA NA NA NA
"331" "2016-04-16" NA NA NA NA NA NA NA NA
"330" "2016-04-09" NA NA NA NA NA NA NA NA
"329" "2016-04-02" NA NA NA NA NA NA NA NA
"328" "2016-03-26" NA NA NA NA NA NA NA NA
"327" "2016-03-19" NA NA NA NA NA NA NA NA
"326" "2016-03-12" NA NA NA NA NA NA NA NA
"325" "2016-03-05" NA NA NA NA NA NA NA NA
"324" "2016-02-27" NA NA NA NA NA NA NA NA
"323" "2016-02-20" NA NA NA NA NA NA NA NA
"322" "2016-02-13" NA NA NA NA NA NA NA NA
"321" "2016-02-06" NA NA NA NA NA NA NA NA
"320" "2016-01-30" NA NA NA NA NA NA NA NA
"319" "2016-01-23" NA NA NA NA NA NA NA NA
"318" "2016-01-09" NA NA NA NA NA NA NA NA
"317" "2016-01-02" NA NA NA NA NA NA NA NA
"316" "2015-12-26" NA NA NA NA NA NA NA NA
"315" "2015-12-19" NA NA NA NA NA NA NA NA
"314" "2015-12-12" NA NA NA NA NA NA NA NA
"313" "2015-12-05" NA NA NA NA NA NA NA NA
"312" "2015-11-28" NA NA NA NA NA NA NA NA
"311" "2015-11-21" NA NA NA NA NA NA NA NA
"310" "2015-11-14" NA NA NA NA NA NA NA NA
"309" "2015-11-07" NA NA NA NA NA NA NA NA
"308" "2015-10-31" NA NA NA NA NA NA NA NA
"307" "2015-10-24" NA NA NA NA NA NA NA NA
"306" "2015-10-17" NA NA NA NA NA NA NA NA
"305" "2015-10-10" NA NA NA NA NA NA NA NA
"304" "2015-10-03" NA NA NA NA NA NA NA NA
"303" "2015-09-26" NA NA NA NA NA NA NA NA
"302" "2015-09-19" NA NA NA NA NA NA NA NA
"301" "2015-09-12" NA NA NA NA NA NA NA NA
