"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"68" 68 1236165 "22:32" 1352 "VM35-39" 58.88 "M" 62 "PB stays at 00:21:42" 22
"69" 69 179028 "22:32" 1352 "VM50-54" 66.49 "M" 63 "PB stays at 00:20:48" 2
"70" 70 2860041 "22:33" 1353 "SW18-19" 65.85 "F" 7 "New PB!" 10
"71" 71 2858185 "22:33" 1353 "SW18-19" 65.85 "F" 8 "First Timer!" 10
"72" 72 58346 "22:37" 1357 "VM40-44" 61.75 "M" 64 "PB stays at 00:22:19" 156
"73" 73 3846158 "22:42" 1362 "SM30-34" 57.27 "M" 65 "First Timer!" 3
"74" 74 2659443 "22:48" 1368 "SM18-19" 57.82 "M" 66 "New PB!" 46
"75" 75 NA NA NA NA NA NA NA NA NA
"76" 76 338037 "22:54" 1374 "VM55-59" 68.85 "M" 68 "PB stays at 00:21:46" 286
"77" 77 3960406 "22:57" 1377 "SW25-29" 64.49 "F" 9 "New PB!" 6
"78" 78 2812034 "22:58" 1378 "VM35-39" 58.56 "M" 69 "New PB!" 7
"79" 79 3959611 "22:59" 1379 "SW18-19" 64.61 "F" 10 "New PB!" 4
"80" 80 1744685 "23:03" 1383 "JW15-17" 65.58 "F" 11 "PB stays at 00:20:02" 85
"81" 81 1152648 "23:05" 1385 "VM45-49" 62.38 "M" 70 "New PB!" 101
"82" 82 172096 "23:10" 1390 "SM30-34" 56.33 "M" 71 "PB stays at 00:21:46" 141
"83" 83 959313 "23:12" 1392 "VM60-64" 70.33 "M" 72 "PB stays at 00:20:49" 13
"84" 84 3914719 "23:13" 1393 "VM55-59" 68.49 "M" 73 "First Timer!" 24
"85" 85 3808182 "23:14" 1394 "SM20-24" 55.52 "M" 74 "First Timer!" 7
"86" 86 3162046 "23:14" 1394 "SW20-24" 63.7 "F" 12 "PB stays at 00:21:26" 10
"87" 87 2930142 "23:17" 1397 "VM45-49" 61.85 "M" 75 "PB stays at 00:22:30" 19
"88" 88 827743 "23:18" 1398 "SM30-34" 55.79 "M" 76 "New PB!" 27
"89" 89 2028370 "23:19" 1399 "VM50-54" 65.33 "M" 77 "PB stays at 00:22:11" 149
"90" 90 3997648 "23:22" 1402 "SM18-19" 56.42 "M" 78 "First Timer!" 1
"91" 91 1075186 "23:23" 1403 "SM25-29" 55.24 "M" 79 "New PB!" 9
