"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" 1 262397 "18:22" 1102 "SM20-24" 70.96 "M" 1 "New PB!" 267
"2" 2 436989 "18:35" 1115 "SM20-24" 69.42 "M" 2 "PB stays at 00:17:57" 82
"3" 3 3877616 "18:41" 1121 "SM20-24" 69.76 "M" 3 "First Timer!" 4
"4" 4 177854 "18:49" 1129 "VM45-49" 77.77 "M" 4 "PB stays at 00:18:25" 77
"5" 5 1136668 "18:55" 1135 "SM25-29" 68.19 "M" 5 "PB stays at 00:18:22" 147
"6" 6 804193 "18:57" 1137 "VM35-39" 71.5 "M" 6 "PB stays at 00:17:48" 198
"7" 7 3479580 "19:00" 1140 "SM20-24" 68.6 "M" 7 "New PB!" 14
"8" 8 2502006 "19:13" 1153 "SM20-24" 67.39 "M" 8 "New PB!" 27
"9" 9 218298 "19:19" 1159 "SM30-34" 67.3 "M" 9 "New PB!" 150
"10" 10 82978 "19:30" 1170 "VM35-39" 68.46 "M" 10 "First Timer!" 7
"11" 11 1995389 "19:31" 1171 "VM45-49" 73.19 "M" 11 "First Timer!" 66
"12" 12 3367880 "19:35" 1175 "SM30-34" 66.98 "M" 12 "New PB!" 10
"13" 13 1905360 "19:37" 1177 "SM25-29" 65.76 "M" 13 "PB stays at 00:18:49" 73
"14" 14 2377351 "19:43" 1183 "SM20-24" 66.1 "M" 14 "PB stays at 00:18:09" 65
"15" 15 3963941 "19:57" 1197 "SM18-19" 66.83 "M" 15 "New PB!" 11
"16" 16 706738 "20:14" 1214 "SW20-24" 73.15 "F" 1 "New PB!" 46
"17" 17 1405096 "20:25" 1225 "VM50-54" 72.82 "M" 16 "PB stays at 00:19:39" 162
"18" 18 1906524 "20:28" 1228 "SM20-24" 63.68 "M" 17 "PB stays at 00:19:46" 107
"19" 19 3990797 "20:29" 1229 "SM18-19" 64.36 "M" 18 "First Timer!" 2
"20" 20 NA NA NA NA NA NA NA NA NA
"21" 21 3348904 "20:35" 1235 "SM25-29" 62.67 "M" 20 "First Timer!" 4
"22" 22 312016 "20:36" 1236 "JM11-14" 70.39 "M" 21 "PB stays at 00:18:26" 251
"23" 23 NA NA NA NA NA NA NA NA NA
"24" 24 59830 "20:41" 1241 "VM45-49" 69.62 "M" 23 "PB stays at 00:19:39" 338
"25" 25 3399573 "20:44" 1244 "SM20-24" 62.22 "M" 24 "PB stays at 00:19:37" 11
"26" 26 301909 "20:45" 1245 "VM35-39" 65.3 "M" 25 "PB stays at 00:19:55" 177
"27" 27 998060 "20:48" 1248 "SM30-34" 62.18 "M" 26 "PB stays at 00:18:53" 36
"28" 28 359044 "20:49" 1249 "SM18-19" 63.33 "M" 27 "PB stays at 00:19:54" 82
"29" 29 354515 "20:50" 1250 "VM35-39" 63.68 "M" 28 "New PB!" 233
"30" 30 3556233 "20:51" 1251 "SM20-24" 61.87 "M" 29 "New PB!" 14
"31" 31 NA NA NA NA NA NA NA NA NA
"32" 32 3986577 "21:07" 1267 "SM30-34" 61.8 "M" 31 "New PB!" 20
"33" 33 2409528 "21:07" 1267 "SM20-24" 61.33 "M" 32 "First Timer!" 2
"34" 34 1136173 "21:09" 1269 "SM30-34" 61.31 "M" 33 "PB stays at 00:20:41" 104
"35" 35 242469 "21:15" 1275 "SM25-29" 60.71 "M" 34 "New PB!" 15
"36" 36 173509 "21:19" 1279 "VM45-49" 67.55 "M" 35 "PB stays at 00:17:51" 328
"37" 37 633070 "21:21" 1281 "VM40-44" 65.42 "M" 36 "PB stays at 00:19:53" 244
"38" 38 2614407 "21:23" 1283 "SM20-24" 60.95 "M" 37 "PB stays at 00:19:05" 54
"39" 39 1895685 "21:24" 1284 "VM50-54" 70.02 "M" 38 "PB stays at 00:20:39" 108
"40" 40 1270775 "21:27" 1287 "SW20-24" 69 "F" 2 "PB stays at 00:20:10" 125
"41" 41 312051 "21:33" 1293 "JM11-14" 67.29 "M" 39 "PB stays at 00:19:02" 259
"42" 42 1637499 "21:40" 1300 "SM20-24" 59.77 "M" 40 "New PB!" 6
"43" 43 3724593 "21:43" 1303 "SM25-29" 59.4 "M" 41 "New PB!" 3
"44" 44 173012 "21:44" 1304 "VM50-54" 70.09 "M" 42 "PB stays at 00:18:14" 365
"45" 45 2881168 "21:47" 1307 "SM20-24" 59.45 "M" 43 "PB stays at 00:18:40" 40
"46" 46 3851959 "21:48" 1308 "SM30-34" 59.48 "M" 44 "PB stays at 00:21:41" 4
"47" 47 3307290 "21:48" 1308 "SM20-24" 59.79 "M" 45 "PB stays at 00:20:40" 5
"48" 48 33202 "21:49" 1309 "SM25-29" 59.13 "M" 46 "New PB!" 77
"49" 49 NA NA NA NA NA NA NA NA NA
"50" 50 NA NA NA NA NA NA NA NA NA
"51" 51 2858185 "21:59" 1319 "SW18-19" 67.55 "F" 3 "New PB!" 10
"52" 52 1743037 "22:00" 1320 "VM40-44" 63.48 "M" 49 "New PB!" 4
"53" 53 NA NA NA NA NA NA NA NA NA
"54" 54 NA NA NA NA NA NA NA NA NA
"55" 55 3409446 "22:08" 1328 "SM30-34" 58.43 "M" 52 "PB stays at 00:20:06" 39
"56" 56 1236165 "22:11" 1331 "VM35-39" 59.8 "M" 53 "PB stays at 00:21:42" 22
