"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" 1 143692 "16:37" 997 "SM30-34" 78.03 "M" 1 "PB stays at 00:15:39" 92
"2" 2 651914 "16:47" 1007 "SM18-19" 78.55 "M" 2 "New PB!" 130
"3" 3 1054571 "18:21" 1101 "JM15-17" 74.66 "M" 3 "PB stays at 00:17:13" 24
"4" 4 NA NA NA NA NA NA NA NA NA
"5" 5 176490 "18:29" 1109 "SM20-24" 70.51 "M" 5 "New PB!" 54
"6" 6 262397 "18:41" 1121 "SM20-24" 69.76 "M" 6 "PB stays at 00:18:22" 267
"7" 7 986557 "18:44" 1124 "SM30-34" 69.66 "M" 7 "New PB!" 17
"8" 8 649563 "18:45" 1125 "SW20-24" 78.93 "F" 1 "New PB!" 19
"9" 9 384355 "19:08" 1148 "SM30-34" 68.55 "M" 8 "First Timer!" 102
"10" 10 NA NA NA NA NA NA NA NA NA
"11" 11 1905360 "19:18" 1158 "SM25-29" 66.84 "M" 10 "PB stays at 00:18:49" 73
"12" 12 186773 "19:22" 1162 "VM40-44" 71.51 "M" 11 "PB stays at 00:18:38" 53
"13" 13 804193 "19:24" 1164 "VM35-39" 69.85 "M" 12 "PB stays at 00:17:48" 198
"14" 14 2203669 "19:33" 1173 "JM11-14" 76.04 "M" 13 "New PB!" 26
"15" 15 239419 "19:33" 1173 "VM40-44" 71.44 "M" 14 "PB stays at 00:18:59" 210
"16" 16 2377351 "19:41" 1181 "SM20-24" 66.22 "M" 15 "PB stays at 00:18:09" 65
"17" 17 NA NA NA NA NA NA NA NA NA
"18" 18 57206 "20:11" 1211 "VM50-54" 74.24 "M" 17 "PB stays at 00:19:25" 32
"19" 19 1906524 "20:36" 1236 "SM20-24" 63.27 "M" 18 "PB stays at 00:19:46" 107
"20" 20 1405096 "20:40" 1240 "VM50-54" 71.94 "M" 19 "PB stays at 00:19:39" 162
"21" 21 58553 "20:44" 1244 "SW30-34" 71.86 "F" 2 "PB stays at 00:19:20" 90
"22" 22 2440933 "20:48" 1248 "SM20-24" 62.26 "M" 20 "New PB!" 8
"23" 23 3792196 "20:50" 1250 "SM20-24" 62.16 "M" 21 "New PB!" 4
"24" 24 312051 "20:54" 1254 "JM11-14" 69.38 "M" 22 "PB stays at 00:19:02" 259
"25" 25 354515 "21:00" 1260 "VM35-39" 63.17 "M" 23 "PB stays at 00:20:50" 233
"26" 26 1895685 "21:04" 1264 "VM50-54" 71.12 "M" 24 "PB stays at 00:20:39" 108
"27" 27 379923 "21:14" 1274 "JM15-17" 64.52 "M" 25 "PB stays at 00:18:04" 83
"28" 28 3945222 "21:26" 1286 "SM20-24" 60.42 "M" 26 "New PB!" 2
"29" 29 173012 "21:27" 1287 "VM50-54" 71.02 "M" 27 "PB stays at 00:18:14" 365
"30" 30 552998 "21:33" 1293 "JM10" 73.24 "M" 28 "PB stays at 00:20:52" 253
"31" 31 528512 "21:33" 1293 "VM40-44" 63.34 "M" 29 "PB stays at 00:19:59" 107
"32" 32 487020 "21:34" 1294 "VM40-44" 65.22 "M" 30 "PB stays at 00:20:52" 258
"33" 33 410795 "21:35" 1295 "SM25-29" 59.77 "M" 31 "PB stays at 00:20:31" 42
"34" 34 3556233 "21:36" 1296 "SM20-24" 59.72 "M" 32 "New PB!" 14
"35" 35 2229604 "21:54" 1314 "SW30-34" 67.73 "F" 3 "First Timer!" 14
"36" 36 898345 "21:54" 1314 "SM20-24" 59.13 "M" 33 "PB stays at 00:21:40" 54
"37" 37 3409446 "21:54" 1314 "SM30-34" 59.06 "M" 34 "PB stays at 00:20:06" 39
"38" 38 234462 "22:02" 1322 "SM20-24" 59.15 "M" 35 "PB stays at 00:20:48" 213
"39" 39 NA NA NA NA NA NA NA NA NA
"40" 40 2885759 "22:06" 1326 "JW11-14" 73.68 "F" 4 "New PB!" 18
"41" 41 634584 "22:18" 1338 "VM35-39" 60.76 "M" 37 "PB stays at 00:20:49" 52
