"pos" "athleteNumber" "time" "timeInSeconds" "ageCat" "ageGrade" "gender" "genderPos" "note" "totalRuns"
"1" 1 651914 "17:18" 1038 "SM18-19" 76.2 "M" 1 "New PB!" 130
"2" 2 364318 "17:19" 1039 "SM30-34" 75.75 "M" 2 "PB stays at 00:16:21" 141
"3" 3 1949528 "17:54" 1074 "SM20-24" 72.81 "M" 3 "New PB!" 5
"4" 4 1265128 "18:13" 1093 "SM18-19" 72.37 "M" 4 "First Timer!" 12
"5" 5 469100 "18:35" 1115 "JM15-17" 73.72 "M" 5 "New PB!" 18
"6" 6 310259 "18:43" 1123 "SM30-34" 69.28 "M" 6 "PB stays at 00:18:07" 148
"7" 7 2732144 "19:16" 1156 "SM18-19" 69.2 "M" 7 "First Timer!" 8
"8" 8 44287 "19:31" 1171 "SM18-19" 67.55 "M" 8 "First Timer!" 41
"9" 9 3565097 "19:40" 1180 "SM25-29" 65.59 "M" 9 "PB stays at 00:18:56" 16
"10" 10 3715349 "19:45" 1185 "SM20-24" 65.57 "M" 10 "First Timer!" 4
"11" 11 2698693 "19:47" 1187 "SM18-19" 66.64 "M" 11 "PB stays at 00:17:37" 7
"12" 12 3479580 "19:50" 1190 "SM20-24" 65.71 "M" 12 "PB stays at 00:18:26" 14
"13" 13 3892833 "19:53" 1193 "SM20-24" 65.13 "M" 13 "First Timer!" 5
"14" 14 3043247 "19:57" 1197 "SM20-24" 65.33 "M" 14 "PB stays at 00:18:41" 17
"15" 15 177854 "19:58" 1198 "VM45-49" 73.29 "M" 15 "PB stays at 00:18:25" 77
"16" 16 262397 "20:00" 1200 "SM20-24" 65.17 "M" 16 "PB stays at 00:18:22" 267
"17" 17 277506 "20:00" 1200 "VM55-59" 78.83 "M" 17 "PB stays at 00:18:56" 105
"18" 18 NA NA NA NA NA NA NA NA NA
"19" 19 239419 "20:08" 1208 "VM40-44" 69.37 "M" 19 "PB stays at 00:18:59" 210
"20" 20 2377351 "20:20" 1220 "SM20-24" 64.1 "M" 20 "PB stays at 00:18:09" 65
"21" 21 804193 "20:22" 1222 "VM35-39" 66.53 "M" 21 "PB stays at 00:17:48" 198
"22" 22 1079713 "20:31" 1231 "VM40-44" 67.51 "M" 22 "PB stays at 00:17:43" 100
"23" 23 NA NA NA NA NA NA NA NA NA
"24" 24 57206 "20:50" 1250 "VM50-54" 71.92 "M" 24 "PB stays at 00:19:25" 32
"25" 25 1444718 "20:50" 1250 "SM30-34" 62.24 "M" 25 "First Timer!" 13
"26" 26 1405096 "20:59" 1259 "VM50-54" 70.85 "M" 26 "PB stays at 00:19:39" 162
"27" 27 NA NA NA NA NA NA NA NA NA
"28" 28 NA NA NA NA NA NA NA NA NA
"29" 29 312016 "21:11" 1271 "JM11-14" 68.45 "M" 29 "PB stays at 00:18:26" 251
"30" 30 633070 "21:25" 1285 "VM40-44" 65.21 "M" 30 "PB stays at 00:19:53" 244
"31" 31 359044 "21:30" 1290 "SM18-19" 61.32 "M" 31 "PB stays at 00:19:54" 82
"32" 32 173012 "21:33" 1293 "VM50-54" 70.69 "M" 32 "PB stays at 00:18:14" 365
"33" 33 312051 "21:37" 1297 "JM11-14" 67.08 "M" 33 "PB stays at 00:19:02" 259
"34" 34 NA NA NA NA NA NA NA NA NA
"35" 35 706738 "21:44" 1304 "SW20-24" 68.1 "F" 1 "PB stays at 00:19:24" 46
"36" 36 1405491 "21:45" 1305 "SM18-19" 61.3 "M" 35 "New PB!" 60
"37" 37 653336 "21:47" 1307 "SM25-29" 59.22 "M" 36 "New PB!" 38
"38" 38 1906524 "21:47" 1307 "SM20-24" 59.83 "M" 37 "PB stays at 00:19:46" 107
"39" 39 791448 "21:48" 1308 "VM40-44" 64.53 "M" 38 "First Timer!" 113
"40" 40 44462 "21:49" 1309 "VM50-54" 67.61 "M" 39 "PB stays at 00:19:19" 164
"41" 41 1895685 "21:52" 1312 "VM50-54" 68.52 "M" 40 "PB stays at 00:20:39" 108
"42" 42 3963941 "21:53" 1313 "SM18-19" 60.93 "M" 41 "First Timer!" 11
"43" 43 705980 "21:54" 1314 "VW45-49" 72.53 "F" 2 "PB stays at 00:20:27" 19
"44" 44 1997123 "21:56" 1316 "SM20-24" 59.42 "M" 42 "PB stays at 00:19:06" 32
"45" 45 19582 "21:58" 1318 "SM18-19" 60.7 "M" 43 "First Timer!" 62
"46" 46 824633 "22:00" 1320 "SM25-29" 58.64 "M" 44 "PB stays at 00:20:38" 148
"47" 47 3437521 "22:03" 1323 "SM30-34" 59.49 "M" 45 "PB stays at 00:20:21" 22
"48" 48 3851959 "22:20" 1340 "SM30-34" 58.06 "M" 46 "PB stays at 00:21:41" 4
