"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"281" "2017-05-13" NA NA NA NA NA NA NA NA
"280" "2017-05-06" NA NA NA NA NA NA NA NA
"279" "2017-04-29" NA NA NA NA NA NA NA NA
"278" "2017-04-22" NA NA NA NA NA NA NA NA
"277" "2017-04-15" NA NA NA NA NA NA NA NA
"276" "2017-04-08" NA NA NA NA NA NA NA NA
"275" "2017-04-01" NA NA NA NA NA NA NA NA
"274" "2017-03-25" NA NA NA NA NA NA NA NA
"273" "2017-03-18" NA NA NA NA NA NA NA NA
"272" "2017-03-11" NA NA NA NA NA NA NA NA
"271" "2017-03-04" NA NA NA NA NA NA NA NA
"270" "2017-02-25" NA NA NA NA NA NA NA NA
"269" "2017-02-18" NA NA NA NA NA NA NA NA
"268" "2017-02-11" NA NA NA NA NA NA NA NA
"267" "2017-02-04" NA NA NA NA NA NA NA NA
"266" "2017-01-28" NA NA NA NA NA NA NA NA
"265" "2017-01-21" NA NA NA NA NA NA NA NA
"264" "2017-01-14" NA NA NA NA NA NA NA NA
"263" "2017-01-07" NA NA NA NA NA NA NA NA
"262" "2016-12-17" NA NA NA NA NA NA NA NA
"261" "2016-12-10" NA NA NA NA NA NA NA NA
"260" "2016-12-03" NA NA NA NA NA NA NA NA
"259" "2016-11-26" NA NA NA NA NA NA NA NA
"258" "2016-11-19" NA NA NA NA NA NA NA NA
"257" "2016-11-12" NA NA NA NA NA NA NA NA
"256" "2016-11-05" NA NA NA NA NA NA NA NA
"255" "2016-10-29" NA NA NA NA NA NA NA NA
"254" "2016-10-22" NA NA NA NA NA NA NA NA
"253" "2016-10-15" NA NA NA NA NA NA NA NA
"252" "2016-10-08" NA NA NA NA NA NA NA NA
"251" "2016-10-01" 334 180 117 3.32229047331105 0.556211716798365 2.72356598679028 0.454230409678544 NA
"250" "2016-09-24" 351 182 142 3.35372407615176 0.555537275210805 2.70268068820193 0.501324418995091 NA
"249" "2016-09-17" NA NA NA NA NA NA NA NA
"248" "2016-09-10" NA NA NA NA NA NA NA NA
"247" "2016-09-03" NA NA NA NA NA NA NA NA
"246" "2016-08-27" 396 208 166 3.2752589124348 0.591884747080663 2.64051907196721 0.506017271292964 NA
"245" "2016-08-20" 308 176 121 3.27108401727923 0.595234020127901 2.73354562316646 0.47737815644066 NA
"244" "2016-08-13" 292 159 117 3.2827874156406 0.547084216384325 2.70689179240822 0.46853274377011 NA
"243" "2016-08-06" 322 163 148 3.27129952866254 0.569603056880723 2.59021554660489 0.492003243979014 NA
"242" "2016-07-30" 265 144 109 3.41550448222853 0.584755685243404 2.78836219833392 0.489555894714512 NA
"241" "2016-07-23" 273 152 112 3.2524243182967 0.569797421881413 2.7074738528137 0.491613017947085 NA
"240" "2016-07-16" 285 167 108 3.36202694846095 0.640062754715173 2.77533531633104 0.5482066651504 NA
"239" "2016-07-02" 260 149 92 3.25231139606176 0.603083914249719 2.8290807257032 0.484708470466153 NA
