"date" "athletes" "maleAthletes" "femaleAthletes" "maleSpeedMean" "maleSpeedSD" "femaleSpeedMean" "femaleSpeedSD" "extraTime"
"179" "2017-12-30" 146 84 56 3.13872249642391 0.57307702603599 2.52919724867126 0.514111332162989 NA
"178" "2017-12-25" 118 67 46 3.39783879798394 0.575046510201745 2.93711956134236 0.435561680731502 NA
"177" "2017-12-23" 176 105 66 3.34344616834374 0.61146837272688 2.78589854937325 0.466464806921743 NA
"176" "2017-12-16" 115 69 43 3.34536946799319 0.597777406493162 2.73809292328714 0.517867764078588 NA
"175" "2017-12-09" 107 71 33 3.28180754372845 0.524828729900816 2.71345555594044 0.535927736535213 NA
"174" "2017-12-02" 155 93 59 3.36187576051713 0.575780518058096 2.82961668416431 0.521518640864771 NA
"173" "2017-11-25" 160 100 56 3.33599175082475 0.583891913668108 2.77018066787685 0.403868561588055 NA
"172" "2017-11-18" 159 92 61 3.2984138038035 0.581037868777221 2.75046044823198 0.450939839967222 NA
"171" "2017-11-11" 167 90 72 3.25382589130229 0.588985483502668 2.76850401278407 0.423566523222339 NA
"170" "2017-11-04" 208 110 91 3.31932159570807 0.565517085706565 2.77056219850942 0.488536343822689 NA
"169" "2017-10-28" 184 95 83 3.27528772964874 0.555056551319878 2.51066095940461 0.461359657457873 NA
"168" "2017-10-21" 181 95 81 3.24846179656742 0.576659566566904 2.74072053010939 0.481254438033479 NA
"167" "2017-10-14" 161 83 74 3.21544839556275 0.701824407230566 2.66399608590258 0.461268594290109 NA
"166" "2017-10-07" 181 90 84 3.12357050209315 0.586265551958131 2.67996524529634 0.532704930013531 NA
"165" "2017-09-30" 192 100 81 3.22214537388864 0.584806348531999 2.64913714170827 0.454508078797938 NA
"164" "2017-09-23" 254 169 82 3.17025175549589 0.629880212000951 2.70503773823663 0.480501755767938 NA
"163" "2017-09-16" 275 174 95 3.06641671269779 0.781943204676178 2.63946157773368 0.618258767402996 NA
"162" "2017-09-09" 178 108 67 3.17142883151953 0.633715631704123 2.64151089146881 0.474195246214319 NA
"161" "2017-09-02" 194 116 75 3.26134275338886 0.650947131829576 2.68641336603754 0.562236005889099 NA
"160" "2017-08-26" 248 143 104 3.25489930663257 0.665694667678164 2.66509284221663 0.435324373610346 NA
"159" "2017-08-19" 242 136 101 3.27564078426201 0.656517202713987 2.6585483673081 0.495799649670789 NA
"158" "2017-08-12" 237 126 107 3.29634549929016 0.660490919885819 2.64579448294975 0.467169335996729 NA
